id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,11,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 8-9 9-10,0,U,2,5,2 2 3 2 2 5 2 3 2 2 5,4 4 5 5 4 5 4 5 5 4 5,161
1,11,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 8-9 8-10,1682,S,1,6,2 1 2 4 1 6 2 1 2 1 1,5 5 6 5 4 6 6 5 3 6 6,203
2,11,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 7-10 8-9,44,S,1,6,2 2 1 1 2 1 2 2 2 3 2,5 4 6 5 3 6 5 5 5 4 4,291
3,11,1-0 1-2 0-6 2-3 3-4 4-5 6-7 6-10 7-8 8-9,0,U,2,6,2 2 2 2 2 2 2 2 2 2 2,5 5 5 5 4 5 6 5 4 6 5,297
4,11,1-0 1-2 0-6 0-10 2-3 3-4 4-5 6-7 7-8 8-9,1110,S,1,6,2 1 1 2 1 2 1 3 2 3 1,5 5 6 5 3 6 5 5 4 4 5,323
5,11,1-0 1-2 0-7 2-3 3-4 3-5 3-6 7-8 8-9 9-10,0,U,3,6,4 3 3 4 3 3 3 4 3 4 6,5 6 5 4 6 6 6 6 6 5 6,177
6,11,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 8-9 9-10,0,U,2,6,2 2 2 2 2 2 2 2 2 2 2,5 5 5 5 5 5 4 4 6 5 4,385
7,11,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 8-9 9-10,0,U,2,6,2 3 2 2 2 2 2 3 3 4 3,5 6 5 5 6 6 5 6 5 4 6,251
8,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 8-9 8-10,0,U,3,6,4 3 3 4 3 3 3 3 4 3 3,4 6 5 4 6 6 6 5 4 6 6,163
9,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 7-10 8-9,180,S,1,6,2 2 1 2 1 1 2 1 2 2 2,5 5 5 4 5 5 5 6 5 4 5,369
10,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-10 7-8 8-9,0,U,3,6,3 3 3 3 3 3 4 3 3 4 3,5 6 5 4 6 6 6 5 5 6 5,246
11,11,1-0 1-2 0-6 0-10 2-3 3-4 3-5 6-7 7-8 8-9,0,U,2,6,2 3 2 3 2 2 3 2 2 3 3,5 5 5 4 5 5 5 6 5 4 5,389
12,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 7-9 7-10,0,U,2,7,3 3 2 3 2 2 2 3 2 2 2,7 7 6 4 7 7 6 4 7 7 7,294
13,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-10 7-8 7-9,1207,S,1,7,1 1 1 2 1 1 2 1 2 2 1,6 7 6 4 7 7 6 6 5 5 5,451
14,11,1-0 1-2 0-6 0-10 2-3 3-4 3-5 6-7 7-8 7-9,0,U,2,7,3 2 2 3 2 2 2 2 2 2 2,7 6 6 5 6 6 6 5 7 7 6,403
15,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-9 7-8 9-10,1973,S,1,5,1 2 1 2 1 1 2 1 1 1 1,5 5 5 4 5 5 5 5 5 5 5,435
16,11,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-9 6-10 7-8,0,U,2,7,3 3 2 3 2 2 3 3 3 3 3,6 7 6 4 7 7 6 6 5 6 6,362
17,11,1-0 1-2 0-6 0-10 2-3 3-4 3-5 6-7 6-9 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 5 5 5 6 6 5 5 6,602
