id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 2-12,0,U,9,11,9 9 10 9 9 9 9 9 9 9 9 9 9,11 11 10 11 11 11 11 11 11 11 11 11 11,156
1,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 11-12,0,U,5,10,5 5 6 5 5 5 5 5 5 5 5 5 7,9 9 10 9 9 9 9 9 9 9 9 9 9,1276
2,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 10-12,0,U,3,10,3 3 4 3 3 3 3 3 3 3 3 4 4,9 9 10 9 9 9 9 9 9 9 9 9 9,2804
3,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 11-12,0,U,5,10,5 5 6 5 5 5 5 5 5 5 5 7 7,9 9 10 9 9 9 9 9 9 9 9 8 10,1007
4,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 2-11 11-12,3067,S,1,9,1 1 2 1 1 1 1 1 1 1 3 1 3,9 9 8 9 9 9 9 9 9 9 9 9 9,3238
5,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 9-11 9-12,1019,S,1,10,1 1 2 1 1 1 1 1 1 1 2 2 2,9 9 10 9 9 9 9 9 9 9 9 9 9,4231
6,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 9-11 11-12,0,U,3,9,3 3 4 3 3 3 3 3 3 3 4 4 4,9 9 9 9 9 9 9 9 9 9 8 9 8,2660
7,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 10-11 10-12,0,U,5,10,5 5 6 5 5 5 5 5 5 5 7 6 6,9 9 10 9 9 9 9 9 9 9 8 10 10,842
8,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 10-11 11-12,0,U,2,9,2 2 3 2 2 2 2 2 2 2 4 3 6,8 8 9 8 8 8 8 8 8 8 9 8 8,2084
9,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 2-10 10-11 10-12,8191,F,1,9,1 1 1 1 1 1 1 1 1 1 1 1 1,9 9 8 9 9 9 9 9 9 9 9 9 9,4735
10,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 2-10 10-11 11-12,0,U,2,9,2 2 2 2 2 2 2 2 2 3 2 3 3,9 9 8 9 9 9 9 9 9 9 9 8 8,2624
11,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 8-11 8-12,8191,F,1,10,1 1 1 1 1 1 1 1 1 1 1 1 1,9 9 10 9 9 9 9 9 9 9 9 9 9,5049
12,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 8-11 11-12,511,S,1,9,1 1 1 1 1 1 1 1 1 2 2 2 2,9 9 9 9 9 9 9 9 9 9 9 9 8,4243
13,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 10-11 10-12,0,U,3,9,3 3 4 3 3 3 3 3 3 4 4 3 3,9 9 9 9 9 9 9 9 9 8 9 8 8,2474
14,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 10-11 11-12,4095,S,1,8,1 1 1 1 1 1 1 1 1 1 1 1 3,8 8 8 8 8 8 8 8 8 8 8 8 8,3487
15,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 9-10 8-11 11-12,0,U,3,8,3 3 4 3 3 3 3 3 3 4 4 4 4,8 8 8 8 8 8 8 8 8 8 8 8 8,2485
16,13,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 9-10 9-11 9-12,0,U,5,10,5 5 6 5 5 5 5 5 5 7 6 6 6,9 9 10 9 9 9 9 9 9 8 10 10 10,714
